sign,thai
โกรธ,ฉันโกรธ
ร้องไห้,ฉันร้องไห้
ดีใจ,ฉันดีใจ
สบายดี,ฉันสบายดี
เสียใจ,ฉันเสียใจ
หิว,ฉันหิว
ร้อน,ฉันร้อน
หนาว,ฉันหนาว
เครียด,ฉันเครียด
เศร้า,ฉันเศร้า
แมว ฉัน รัก,ฉันรักแมว
หมา ฉัน รัก,ฉันรักหมา
หมา ฉัน เพื่อน รัก,เพื่อนของฉันรักหมา
แมว ฉัน เพื่อน รัก,เพื่อนของฉันรักแมว
ราคา เท่าไร,ราคาเท่าไหร่
แตงกวา ราคา เท่าไร,แตงกวาราคาเท่าไหร่
ผักกาด ราคา เท่าไร,ผักกาด ราคา เท่าไหร่
ฉัน พ่อ ทำ ทหาร,พ่อของฉันเป็นทหาร
ฉัน พ่อ ทำ ตำรวจ,พ่อของฉันเป็นตำรวจ
วันนี้ อากาศ ร้อน,วันนี้อากาศร้อน
วันนี้ อากาศ หนาว,วันนี้อากาศหนาว
คุณ อายุ เท่าไร,คุณอายุเท่าไหร่
แมว ฉัน เห็น,ฉันเห็นแมว
หมา ฉัน เห็น,ฉันเห็นหมา
พรุ่งนี้ ฝนตก,พรุ่งนี้ฝนตก
ฉัน แม่ ทำอาหาร อร่อย,แม่ของฉันทำอาหารอร่อย
ฉัน พ่อ ทำอาหาร อร่อย,พ่อของฉันทำอาหารอร่อย
ฉัน เรียนหนังสือ,ฉันกำลังเรียนหนังสือ
ฉัน พ่อ นอน,พ่อของฉันนอนอยู่
ฉัน แม่ นอน,แม่ของฉันนอนอยู่
พรุ่งนี้ อากาศ ร้อน,พรุ่งนี้อากาศร้อน
พรุ่งนี้ อากาศ หนาว,พรุ่งนี้อากาศหนาว
ฉัน พ่อ กิน,พ่อของฉันกินข้าว
ฉัน แม่ กิน,แม่ของฉันกินข้าว
พบกัน ใหม่,เจอกันใหม่
เมื่อวาน ฝนตก,เมื่อวานฝนตก
ฉัน,ฉัน
พ่อ,พ่อ
แม่,แม่
เพื่อน,เพื่อน
คุณ,คุณ
สวัสดี,สวัสดี
ขอบคุณ,ขอบคุณ
ขอโทษ,ขอโทษ
โชคดี,โชคดี
พบกัน,พบกัน
อายุ,อายุ
ใหม่,ใหม่
เมื่อวาน,เมื่อวาน
พรุ่งนี้,พรุ่งนี้
วันนี้,วันนี้
รัก,รัก
คิดถึง,คิดถึง
อร่อย,อร่อย
ราคา,ราคา
เท่าไร,เท่าไร
แตงกวา,แตงกวา
ผักกาด,ผักกาด
หมา,หมา
แมว,แมว
หนึ่ง,หนึ่ง
สอง,สอง
สาม,สาม
สี่,สี่
ห้า,ห้า
หก,หก
เจ็ด,เจ็ด
แปด,แปด
เก้า,เก้า
สิบ,สิบ
ยี่สิบ,ยี่สิบ
สามสิบ,สามสิบ
สี่สิบ,สี่สิบ
ห้าสิบ,ห้าสิบ
สิบ หนึ่ง,สิบเอ็ด
ยี่สิบ หนึ่ง,ยี่สิบเอ็ด
สามสิบ หนึ่ง,สามสิบเอ็ด
สี่สิบ หนึ่ง,สี่สิบเอ็ด
ห้าสิบ หนึ่ง,ห้าสิบเอ็ด
ได้,ได้
สามารถทำได้,ทำได้
ใช่,ใช่
ไม่รู้,ไม่รู้
ไม่,ไม่
อย่า,อย่า
อากาศ,อากาศ
ฝนตก,ฝนตก
ทำอาหาร,ทำอาหาร
เห็น,เห็น
ทำ,ทำ
ตื่น,ตื่น
นอน,นอน
เรียนหนังสือ,เรียนหนังสือ
กิน,กิน
ทะเลาะ,ทะเลาะ
ทหาร,ทหาร
ตำรวจ,ตำรวจ
